Phase=          0 , Time=                   9 , Destination=0 , Source=0000000000000001 , Packet Value=0100000000000000000000000000000100000000000000000000000000000001
Phase=          0 , Time=                  10 , Destination=0 , Source=0000000000000011 , Packet Value=0000000000000000000000000000001100000000000000000000000000000000
Phase=          0 , Time=                  12 , Destination=0 , Source=0000000000000010 , Packet Value=0000000000000000000000000000001000000000000000000000000000000000
Phase=          0 , Time=                  19 , Destination=0 , Source=0000000000000001 , Packet Value=0100000000000000000000000000000100000000000000000000000000000001
Phase=          0 , Time=                  20 , Destination=0 , Source=0000000000000001 , Packet Value=0100000000000000000000000000000100000000000000000000000000000001
Phase=          0 , Time=                  21 , Destination=0 , Source=0000000000000001 , Packet Value=0100000000000000000000000000000100000000000000000000000000000001
Phase=          0 , Time=                  22 , Destination=0 , Source=0000000000000001 , Packet Value=0100000000000000000000000000000100000000000000000000000000000001
Phase=          0 , Time=                  23 , Destination=0 , Source=0000000000000001 , Packet Value=0100000000000000000000000000000100000000000000000000000000000001
Phase=          0 , Time=                  24 , Destination=0 , Source=0000000000000001 , Packet Value=0100000000000000000000000000000100000000000000000000000000000001
Phase=          0 , Time=                  25 , Destination=0 , Source=0000000000000001 , Packet Value=0100000000000000000000000000000100000000000000000000000000000001
Phase=          0 , Time=                  26 , Destination=0 , Source=0000000000000001 , Packet Value=0100000000000000000000000000000100000000000000000000000000000001
Phase=          0 , Time=                  27 , Destination=0 , Source=0000000000000001 , Packet Value=0100000000000000000000000000000100000000000000000000000000000001
Phase=          0 , Time=                  28 , Destination=0 , Source=0000000000000001 , Packet Value=0100000000000000000000000000000100000000000000000000000000000001
Phase=          0 , Time=                  29 , Destination=0 , Source=0000000000000001 , Packet Value=0100000000000000000000000000000100000000000000000000000000000001
Phase=          0 , Time=                  51 , Destination=0 , Source=0000000000000001 , Packet Value=0100000000000000000000000000000100000000000000000000000000000001
Phase=          0 , Time=                  52 , Destination=0 , Source=0000000000000011 , Packet Value=0000000000000000000000000000001100000000000000000000000000000000
