Phase=          2 , Time=                  30 , Destination=0 , Source=0000000000000001 , Packet Value=0000000000000000000000000000000100000000000000000000000000000010
Phase=          2 , Time=                  31 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  32 , Destination=0 , Source=0000000000000000 , Packet Value=0000000000000000000000000000000000000000000000000000000000000010
Phase=          2 , Time=                  40 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  41 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  42 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  43 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  44 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  45 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  46 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  47 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  48 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  49 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  50 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  51 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  72 , Destination=0 , Source=0000000000000001 , Packet Value=0000000000000000000000000000000100000000000000000000000000000010
Phase=          2 , Time=                  73 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  74 , Destination=0 , Source=0000000000000000 , Packet Value=0000000000000000000000000000000000000000000000000000000000000010
Phase=          2 , Time=                  82 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  83 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  84 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  85 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  86 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  87 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  88 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  89 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  90 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  91 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  92 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                  93 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 114 , Destination=0 , Source=0000000000000001 , Packet Value=0000000000000000000000000000000100000000000000000000000000000010
Phase=          2 , Time=                 115 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 116 , Destination=0 , Source=0000000000000000 , Packet Value=0000000000000000000000000000000000000000000000000000000000000010
Phase=          2 , Time=                 124 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 125 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 126 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
